area_id,total_outflow,total_inflow
4.0,369281,366906
7.0,587560,584053
8.0,38227,38028
12.0,23140,23849
13.0,510071,513764
14.0,9665,9852
17.0,508875,507348
18.0,56439,56713
20.0,42551,43571
24.0,132267,131357
25.0,447198,454022
26.0,3786,3837
31.0,1420,1351
33.0,406181,408401
34.0,171037,171621
35.0,2248,2401
36.0,366585,364913
37.0,580929,576825
40.0,231608,233745
41.0,411742,415353
42.0,338440,340614
43.0,709707,712541
45.0,282054,283478
47.0,86763,88125
48.0,910190,893880
49.0,394363,391861
50.0,362766,352891
52.0,96696,97586
54.0,108539,109944
56.0,27545,28950
57.0,4588,4829
59.0,11889,12067
60.0,36621,37123
61.0,654884,634530
62.0,161146,158702
65.0,248095,250123
66.0,353551,361833
68.0,1460520,1464895
69.0,144860,144690
70.0,34036,34012
71.0,24199,26613
72.0,3486,3817
74.0,361734,363351
75.0,328284,330043
78.0,52663,53450
79.0,1774587,1778870
80.0,539219,540320
82.0,123144,124776
83.0,43508,43586
85.0,36574,37952
87.0,389569,395214
88.0,65259,67138
89.0,115639,118808
90.0,566339,568174
93.0,14395,16488
94.0,21983,21873
97.0,646564,649858
100.0,513258,509773
102.0,14191,14195
105.0,28137,28420
106.0,150476,154584
107.0,567096,566051
111.0,27781,27627
112.0,857697,866667
113.0,860587,866784
114.0,466669,469196
116.0,151871,144722
119.0,68876,69547
120.0,21936,20495
125.0,399767,404392
126.0,34850,35278
127.0,32980,34836
128.0,10387,10803
129.0,231252,228564
133.0,41103,41909
136.0,38926,38164
137.0,525222,523579
140.0,243552,244456
141.0,472097,470240
142.0,391649,387767
143.0,557104,554918
144.0,506064,508192
145.0,442575,446064
146.0,152605,151137
147.0,42204,42514
148.0,845216,850028
151.0,286216,281441
152.0,136937,136574
153.0,4394,4545
157.0,35091,35505
158.0,570599,573298
159.0,127163,127847
160.0,3808,3753
161.0,498701,499448
162.0,356746,356304
163.0,594552,583609
164.0,272754,272215
166.0,253617,251392
167.0,76055,77034
168.0,174941,177284
169.0,70331,70785
170.0,728906,722774
173.0,37117,37594
174.0,19845,20267
177.0,86951,84926
179.0,183251,183086
181.0,862358,863927
186.0,466144,463570
188.0,261015,263711
189.0,385631,384373
190.0,318745,316020
193.0,82959,82108
194.0,37271,37364
195.0,122892,129923
198.0,256412,248816
202.0,59681,60262
209.0,86418,87160
211.0,240360,246129
217.0,57441,57166
220.0,20153,21214
223.0,300624,300988
224.0,367252,361977
225.0,365409,357402
226.0,290540,277968
227.0,66451,66192
228.0,165904,169604
229.0,376099,375336
230.0,385465,388664
231.0,830877,839690
232.0,659771,657426
233.0,338342,331908
234.0,833217,838056
235.0,65317,64644
236.0,333438,335363
237.0,245775,243493
238.0,352183,346473
239.0,515713,506984
240.0,3330,3369
241.0,54773,54974
243.0,89018,86425
244.0,169237,157961
246.0,838963,841646
247.0,137120,138401
249.0,746816,750030
255.0,1116081,1129398
256.0,546476,551271
257.0,123710,122920
260.0,155068,153755
261.0,239198,241462
262.0,155977,156275
263.0,379142,380920
